Aerolinea|Origen|Destino|Entradas|Salidas|Fecha|Tipo_Vuelo
latam airlines group|SANTIAGO|LIMA|38854|40948|01-01-2019|Internacional
latam airlines group|SANTIAGO|BUENOS AIRES|34683|35574|01-01-2019|Internacional
latam airlines group|SANTIAGO|RIO DE JANEIRO|15190|16433|01-01-2019|Internacional
latam airlines group|SANTIAGO|MIAMI|13659|17296|01-01-2019|Internacional
latam airlines group|SANTIAGO|SAO PAULO|13352|16716|01-01-2019|Internacional
latam airlines group|SANTIAGO|BOGOTA|13082|14085|01-01-2019|Internacional
latam airlines group|SANTIAGO|MONTEVIDEO|11011|10525|01-01-2019|Internacional
latam airlines group|SANTIAGO|CORDOBA|9812|8395|01-01-2019|Internacional
latam airlines group|SANTIAGO|MENDOZA|9211|8691|01-01-2019|Internacional
latam airlines group|SANTIAGO|NUEVA YORK|7294|8394|01-01-2019|Internacional
latam airlines group|SANTIAGO|C. DE MEXICO|6957|8241|01-01-2019|Internacional
latam airlines group|SANTIAGO|MADRID|7257|7748|01-01-2019|Internacional
latam airlines group|SANTIAGO|MELBOURNE|5357|6155|01-01-2019|Internacional
latam airlines group|SANTIAGO|AUCKLAND N.Z.|5109|6085|01-01-2019|Internacional
latam airlines group|SANTIAGO|LOS ANGELES, US.|5479|5617|01-01-2019|Internacional
latam airlines group|SANTIAGO|SYDNEY|4696|4572|01-01-2019|Internacional
latam airlines group|SANTIAGO|FLORIANAPOLIS|3624|4547|01-01-2019|Internacional
latam airlines group|SANTIAGO|LA PAZ|2732|2509|01-01-2019|Internacional
latam airlines group|SANTIAGO|CANCUN, MEX.|1793|2274|01-01-2019|Internacional
latam airlines group|SANTIAGO|SANTA CRUZ, BOL.|2116|1910|01-01-2019|Internacional
latam airlines group|SANTIAGO|PUNTA CANA, R.D.|1871|1886|01-01-2019|Internacional
latam airlines group|SANTIAGO|PTA. DEL ESTE|1299|1508|01-01-2019|Internacional
latam airlines group|SANTIAGO|PORTO ALEGRE|1206|1198|01-01-2019|Internacional
latam airlines group|SANTIAGO|FRANKFURT|951|1039|01-01-2019|Internacional
latam airlines group|SANTIAGO|USHUAIA, ARG.|896|952|01-01-2019|Internacional
latam airlines group|SANTIAGO|GUAYAQUIL|601|652|01-01-2019|Internacional
latam airlines group|ISLA DE PASCUA|PAPEETE|542|510|01-01-2019|Internacional
latam airlines group|SANTIAGO|PAPEETE|266|385|01-01-2019|Internacional
latam airlines group|SANTIAGO|PTO.STANLEY|153|241|01-01-2019|Internacional
latam airlines group|PUNTA ARENAS|PTO.STANLEY|161|232|01-01-2019|Internacional
latam airlines group|SANTIAGO|TEL AVID|110|255|01-01-2019|Internacional
latam airlines group|SANTIAGO|RIO GALLEGOS ARG|2|0|01-01-2019|Internacional
latam airlines group|SANTIAGO|ORLANDO, US.|0|0|01-01-2019|Internacional
latam airlines group|SANTIAGO|TUCUMAN|0|0|01-01-2019|Internacional
latam airlines group|SANTIAGO|BARILOCHE|0|0|01-01-2019|Internacional
latam airlines group|IQUIQUE|SANTA CRUZ, BOL.|0|0|01-01-2019|Internacional
latam airlines group|SANTIAGO|ROSARIO, ARG.|0|0|01-01-2019|Internacional
latam airlines group|SANTIAGO|WASHINGTON, US.|0|0|01-01-2019|Internacional
latam airlines group|SANTIAGO|ASUNCION|0|0|01-01-2019|Internacional
latam airlines group|IQUIQUE|LIMA|0|0|01-01-2019|Internacional
latam airlines group|PUNTA ARENAS|RIO GALLEGOS ARG|0|0|01-01-2019|Internacional
latam airlines chile|IQUIQUE|SALTA, ARG.|768|628|01-01-2019|Internacional
latam airlines chile|SANTIAGO|SALTA, ARG.|56|57|01-01-2019|Internacional
sky airline|SANTIAGO|LIMA|13162|13240|01-01-2019|Internacional
sky airline|SANTIAGO|BUENOS AIRES|11553|12088|01-01-2019|Internacional
sky airline|SANTIAGO|RIO DE JANEIRO|4207|4428|01-01-2019|Internacional
sky airline|SANTIAGO|SAO PAULO|3454|3865|01-01-2019|Internacional
sky airline|SANTIAGO|MENDOZA|3620|3685|01-01-2019|Internacional
sky airline|SANTIAGO|FLORIANAPOLIS|2717|3032|01-01-2019|Internacional
sky airline|SANTIAGO|MONTEVIDEO|2678|2659|01-01-2019|Internacional
sky airline|SANTIAGO|CORDOBA|1434|1597|01-01-2019|Internacional
sky airline|SANTIAGO|ROSARIO, ARG.|0|0|01-01-2019|Internacional
sky airline|SANTIAGO|PTA. DEL ESTE|0|0|01-01-2019|Internacional
jetsmart spa|SANTIAGO|LIMA|6570|9538|01-01-2019|Internacional
jetsmart spa|SANTIAGO|BUENOS AIRES|6855|6689|01-01-2019|Internacional
jetsmart spa|SANTIAGO|MENDOZA|979|1255|01-01-2019|Internacional
jetsmart spa|LA SERENA|MENDOZA|841|1049|01-01-2019|Internacional
jetsmart spa|SANTIAGO|CORDOBA|884|922|01-01-2019|Internacional
jetsmart spa|LA SERENA|CORDOBA|566|581|01-01-2019|Internacional
aerovias d.a.p.|PUNTA ARENAS|USHUAIA, ARG.|49|46|01-01-2019|Internacional
aerovias d.a.p.|PUNTA ARENAS|PTO.STANLEY|2|0|01-01-2019|Internacional
aerovias d.a.p.|PUERTO NATALES|EL CALAFATE|0|0|01-01-2019|Internacional
aerovias d.a.p.|PUNTA ARENAS|EL CALAFATE|0|0|01-01-2019|Internacional
one spa|IQUIQUE|C.DE PANAMA|0|137|01-01-2019|Internacional
one spa|SANTIAGO|PISCO, PERU|135|0|01-01-2019|Internacional
latin american wings|SANTIAGO|LIMA|0|0|01-01-2019|Internacional
latin american wings|SANTIAGO|PTO. PRINCIPE|0|0|01-01-2019|Internacional
latin american wings|SANTIAGO|MENDOZA|0|0|01-01-2019|Internacional
latin american wings|SANTIAGO|PUNTA CANA, R.D.|0|0|01-01-2019|Internacional
latin american wings|SANTIAGO|CARACAS|0|0|01-01-2019|Internacional
aerol. argentinas|SANTIAGO|BUENOS AIRES|12236|13518|01-01-2019|Internacional
aerol. argentinas|SANTIAGO|MONTEVIDEO|0|0|01-01-2019|Internacional
aeromexico|SANTIAGO|C. DE MEXICO|5474|7557|01-01-2019|Internacional
amaszonas paraguay|IQUIQUE|ASUNCION|647|538|01-01-2019|Internacional
amaszonas paraguay|IQUIQUE|SALTA, ARG.|87|126|01-01-2019|Internacional
amaszonas s.a.|IQUIQUE|LA PAZ|488|753|01-01-2019|Internacional
amaszonas s.a.|IQUIQUE|SANTA CRUZ, BOL.|253|307|01-01-2019|Internacional
austral|SANTIAGO|BUENOS AIRES|1485|1578|01-01-2019|Internacional
austral|SANTIAGO|CORDOBA|0|0|01-01-2019|Internacional
avianca|SANTIAGO|BOGOTA|14863|15134|01-01-2019|Internacional
c.o.p.a.|SANTIAGO|C.DE PANAMA|21569|23556|01-01-2019|Internacional
estelar latinoamerica|SANTIAGO|PISCO, PERU|593|608|01-01-2019|Internacional
estelar latinoamerica|SANTIAGO|CARACAS|0|0|01-01-2019|Internacional
gol trans|SANTIAGO|SAO PAULO|6545|8604|01-01-2019|Internacional
gol trans|SANTIAGO|RIO DE JANEIRO|2397|2433|01-01-2019|Internacional
gol trans|SANTIAGO|SALVADOR BAHIA|0|0|01-01-2019|Internacional
l.a.c.s.a.|SANTIAGO|LIMA|3605|4180|01-01-2019|Internacional
latam airlines argentina|SANTIAGO|BUENOS AIRES|2814|2330|01-01-2019|Internacional
latam airlines argentina|SANTIAGO|NEUQUEN, ARG.|1501|1495|01-01-2019|Internacional
latam airlines argentina|SANTIAGO|SAN JUAN, ARG.|0|0|01-01-2019|Internacional
latam airlines brasil|SANTIAGO|SAO PAULO|31854|38271|01-01-2019|Internacional
latam airlines brasil|SANTIAGO|RIO DE JANEIRO|6956|7849|01-01-2019|Internacional
latam airlines brasil|SANTIAGO|ROSARIO, ARG.|2305|2199|01-01-2019|Internacional
latam airlines brasil|SANTIAGO|MENDOZA|1660|1408|01-01-2019|Internacional
