destino|numero_vuelos|puntualidad|minutos_atraso|vuelos_regulares|fecha|aeropuerto|5
Cusco|1|1.0|0.0|1.0|01-01-2020|Arica|
Antofagasta|32|0.9690000000000001|17.0|1.0|01-01-2020|Arica|
Santiago|691|0.8740000000000001|48.0|0.997|01-01-2020|Arica|
La Serena|32|0.75|90.0|1.0|01-01-2020|Arica|
Tacna|1|0.0|77.0|1.0|01-01-2020|Arica|
Santiago|32|0.7809999999999999|61.0|0.941|01-04-2020|Arica|
Antofagasta|3|0.667|26.0|1.0|01-04-2020|Arica|
Calama|2|0.5|26.0|1.0|01-04-2020|Arica|
Iquique|30|0.767|68.0|1.0|01-04-2020|Arica|
Lima|1|0.0|38.0|1.0|01-04-2020|Arica|
Santiago|76|0.855|44.0|0.9620000000000001|01-07-2020|Arica|
Antofagasta|18|0.889|20.0|1.0|01-07-2020|Arica|
La Serena|16|1.0|0.0|1.0|01-07-2020|Arica|
Calama|5|0.8|19.0|1.0|01-07-2020|Arica|
Iquique|2|1.0|0.0|1.0|01-07-2020|Arica|
Santiago|233|0.8540000000000001|48.0|0.991|01-10-2020|Arica|
Antofagasta|18|0.889|95.0|1.0|01-10-2020|Arica|
La Serena|25|0.84|37.0|0.9259999999999999|01-10-2020|Arica|
Calama|3|1.0|0.0|1.0|01-10-2020|Arica|
Iquique|1|0.0|25.0|1.0|01-10-2020|Arica|
Trujillo|1|0.0|109.0|1.0|01-10-2020|Arica|
Santiago|315|0.914|48.0|0.991|01-01-2021|Arica|
Antofagasta|11|0.545|66.0|1.0|01-01-2021|Arica|
La Serena|31|0.903|83.0|1.0|01-01-2021|Arica|
Calama|1|0.0|17.0|1.0|01-01-2021|Arica|
Iquique|2|1.0|0.0|1.0|01-01-2021|Arica|
Santiago|226|0.903|56.0|0.966|01-04-2021|Arica|
Antofagasta|1|1.0|0.0|1.0|01-04-2021|Arica|
La Serena|21|0.9520000000000001|59.0|0.955|01-04-2021|Arica|
Iquique|3|0.667|23.0|1.0|01-04-2021|Arica|
Santiago|414|0.79|40.0|0.995|01-07-2021|Arica|
Antofagasta|1|1.0|0.0|1.0|01-07-2021|Arica|
La Serena|38|0.684|62.0|1.0|01-07-2021|Arica|
Copiapo|1|1.0|0.0|1.0|01-07-2021|Arica|
Puerto Principe|2|0.5|86.0|1.0|01-07-2021|Arica|
Santiago|560|0.675|39.0|0.9740000000000001|01-10-2021|Arica|
La Serena|38|0.6579999999999999|39.0|1.0|01-10-2021|Arica|
Iquique|1|1.0|0.0|1.0|01-10-2021|Arica|
Copiapo|1|1.0|0.0|1.0|01-10-2021|Arica|
Puerto Principe|3|0.0|79.0|1.0|01-10-2021|Arica|
Santiago|609|0.759|50.0|0.978|01-01-2022|Arica|
La Serena|41|0.6829999999999999|59.0|0.976|01-01-2022|Arica|
Iquique|2|0.5|18.0|1.0|01-01-2022|Arica|
Puerto Principe|7|0.5710000000000001|18.0|0.778|01-01-2022|Arica|
Santiago|394|0.787|38.0|0.995|01-04-2022|Arica|
Antofagasta|3|1.0|0.0|1.0|01-04-2022|Arica|
La Serena|24|0.667|38.0|0.96|01-04-2022|Arica|
Iquique|17|1.0|0.0|1.0|01-04-2022|Arica|
Puerto Principe|11|0.545|28.0|0.917|01-04-2022|Arica|
Santiago|424|0.804|43.0|0.998|01-07-2022|Arica|
La Serena|28|0.46399999999999997|30.0|1.0|01-07-2022|Arica|
Iquique|22|0.8640000000000001|22.0|0.9570000000000001|01-07-2022|Arica|
Concepcion|1|0.0|17.0|1.0|01-07-2022|Arica|
Puerto Principe|7|0.429|19.0|1.0|01-07-2022|Arica|
Santa Cruz|1|0.0|100.0|1.0|01-07-2022|Arica|
Puerto Principe|3|1.0|0.0|0.75|01-10-2022|Arica|
Santiago|414|0.85|53.0|0.993|01-10-2022|Arica|
Iquique|59|0.78|59.0|0.983|01-10-2022|Arica|
Santa Cruz|2|0.5|98.0|1.0|01-10-2022|Arica|
La Serena|39|0.436|39.0|1.0|01-10-2022|Arica|
Santiago|487|0.8640000000000001|60.0|0.998|01-01-2023|Arica|
Iquique|88|0.841|88.0|0.978|01-01-2023|Arica|
La Serena|52|0.5379999999999999|46.0|1.0|01-01-2023|Arica|
Santa Cruz|1|0.0|61.0|1.0|01-01-2023|Arica|
Calama|1|1.0|0.0|1.0|01-01-2020|Iquique|
Guayaquil|1|1.0|0.0|1.0|01-01-2020|Iquique|
Salta Arg.|9|0.889|51.0|1.0|01-01-2020|Iquique|
Santiago|1195|0.872|42.0|0.998|01-01-2020|Iquique|
La Serena|75|0.813|119.0|1.0|01-01-2020|Iquique|
La Paz|39|0.5379999999999999|31.0|1.0|01-01-2020|Iquique|
Arica|1|0.0|28.0|1.0|01-01-2020|Iquique|
Santiago|207|0.821|61.0|0.924|01-04-2020|Iquique|
Antofagasta|7|1.0|0.0|1.0|01-04-2020|Iquique|
La Serena|12|0.75|36.0|0.857|01-04-2020|Iquique|
Calama|5|0.8|22.0|0.833|01-04-2020|Iquique|
Arica|30|0.767|72.0|1.0|01-04-2020|Iquique|
La Paz|1|1.0|0.0|1.0|01-04-2020|Iquique|
Concepcion|10|1.0|0.0|0.769|01-04-2020|Iquique|
Bogota|2|0.5|212.0|1.0|01-04-2020|Iquique|
Buenos Aires|4|0.75|27.0|1.0|01-04-2020|Iquique|
Santiago|441|0.848|61.0|0.963|01-07-2020|Iquique|
Antofagasta|12|0.75|22.0|1.0|01-07-2020|Iquique|
La Serena|30|0.9329999999999999|81.0|1.0|01-07-2020|Iquique|
Calama|6|0.5|29.0|0.857|01-07-2020|Iquique|
Arica|2|1.0|0.0|1.0|01-07-2020|Iquique|
La Paz|6|0.5|34.0|1.0|01-07-2020|Iquique|
Concepcion|22|0.727|62.0|1.0|01-07-2020|Iquique|
Bogota|1|1.0|0.0|1.0|01-07-2020|Iquique|
Santiago|875|0.847|48.0|0.946|01-10-2020|Iquique|
Antofagasta|3|0.33299999999999996|71.0|1.0|01-10-2020|Iquique|
La Serena|40|0.9|31.0|0.889|01-10-2020|Iquique|
Calama|1|1.0|0.0|1.0|01-10-2020|Iquique|
Arica|3|1.0|0.0|1.0|01-10-2020|Iquique|
La Paz|17|0.353|36.0|1.0|01-10-2020|Iquique|
Barranquilla|1|0.0|29.0|1.0|01-10-2020|Iquique|
Santiago|776|0.941|45.0|0.9740000000000001|01-01-2021|Iquique|
Antofagasta|5|1.0|0.0|1.0|01-01-2021|Iquique|
La Serena|84|0.929|38.0|0.966|01-01-2021|Iquique|
Arica|3|1.0|0.0|1.0|01-01-2021|Iquique|
La Paz|5|0.6|25.0|1.0|01-01-2021|Iquique|
Santa Cruz|12|0.917|30.0|1.0|01-01-2021|Iquique|
Santiago|688|0.895|57.0|0.9840000000000001|01-04-2021|Iquique|
Antofagasta|12|0.833|142.0|1.0|01-04-2021|Iquique|
La Serena|65|0.862|67.0|1.0|01-04-2021|Iquique|
Calama|6|1.0|0.0|1.0|01-04-2021|Iquique|
Arica|7|0.857|21.0|1.0|01-04-2021|Iquique|
La Paz|2|0.0|22.0|1.0|01-04-2021|Iquique|
Concepcion|84|0.905|35.0|1.0|01-04-2021|Iquique|
Copiapo|3|1.0|0.0|0.75|01-04-2021|Iquique|
Santa Cruz|8|0.375|34.0|1.0|01-04-2021|Iquique|
Caracas|2|0.5|40.0|1.0|01-04-2021|Iquique|
Santiago|1227|0.8740000000000001|37.0|0.99|01-07-2021|Iquique|
Antofagasta|2|0.5|114.0|1.0|01-07-2021|Iquique|
La Serena|131|0.802|27.0|0.985|01-07-2021|Iquique|
Arica|2|0.0|62.0|1.0|01-07-2021|Iquique|
Concepcion|123|0.821|45.0|1.0|01-07-2021|Iquique|
Copiapo|2|1.0|0.0|1.0|01-07-2021|Iquique|
Santa Cruz|9|0.778|45.0|1.0|01-07-2021|Iquique|
Bogota|1|1.0|0.0|1.0|01-07-2021|Iquique|
Cali|1|0.0|43.0|1.0|01-07-2021|Iquique|
Puerto Principe|3|0.33299999999999996|43.0|1.0|01-07-2021|Iquique|
Santiago|1340|0.644|39.0|0.987|01-10-2021|Iquique|
La Serena|141|0.716|45.0|0.9790000000000001|01-10-2021|Iquique|
Arica|3|0.33299999999999996|27.0|1.0|01-10-2021|Iquique|
Concepcion|204|0.6859999999999999|47.0|0.99|01-10-2021|Iquique|
Santa Cruz|13|0.385|35.0|1.0|01-10-2021|Iquique|
Bogota|1|0.0|79.0|1.0|01-10-2021|Iquique|
Puerto Principe|3|0.0|34.0|0.429|01-10-2021|Iquique|
Santiago|1194|0.561|45.0|0.971|01-01-2022|Iquique|
Antofagasta|2|0.5|47.0|1.0|01-01-2022|Iquique|
La Serena|125|0.72|56.0|0.9690000000000001|01-01-2022|Iquique|
Calama|1|0.0|44.0|1.0|01-01-2022|Iquique|
Arica|1|0.0|16.0|1.0|01-01-2022|Iquique|
La Paz|1|1.0|0.0|1.0|01-01-2022|Iquique|
Concepcion|171|0.649|49.0|0.977|01-01-2022|Iquique|
Puerto Principe|9|0.556|41.0|1.0|01-01-2022|Iquique|
