Ciudad;City;Pais;Region;latitud;longitud
Copiap√≥;Copiapo;Chile;Sudamerica;ñ35,675147;ñ71,542969
Cusco;Cusco;Peru;Sudamerica;ñ9.189967;ñ75,015152
Antofagasta;Antofagasta;Chile;Sudamerica;ñ35,675147;ñ71,542969
Concepci√≥n;Concepcion;Chile;Sudamerica;ñ35,675147;ñ71,542969
Santiago;Santiago;Chile;Sudamerica;ñ35,675147;ñ71,542969
La Serena;La Serena;Chile;Sudamerica;ñ35,675147;ñ71,542969
Tacna;Tacna;Peru;Sudamerica;ñ9.189967;ñ75,015152
Calama;Calama;Chile;Sudamerica;ñ35,675147;ñ71,542969
Iquique;Iquique;Chile;Sudamerica;ñ35,675147;ñ71,542969
Lima;Lima;Peru;Sudamerica;ñ9.189967;ñ75,015152
Trujillo;Trujillo;Peru;Sudamerica;ñ9.189967;ñ75,015152
Puerto Pr√≠ncipe;Puerto Principe;Haiti;Centroamerica;18,971187;ñ72,285215
Copiapo;Copiapo;Chile;Sudamerica;ñ35,675147;ñ71,542969
Puerto Principe;Puerto Principe;Haiti;Centroamerica;18,971187;ñ72,285215
Concepcion;Concepcion;Chile;Sudamerica;ñ35,675147;ñ71,542969
Santa Cruz;Santa Cruz;Bolivia;Sudamerica;-16,290154;ñ63,588653
Guayaquil;Guayaquil;Ecuador;Sudamerica;ñ1,831239;ñ78,183406
Salta Arg.;Salta Arg.;Argentina;Sudamerica;ñ38,416097;ñ63,616672
Asunci√≥n;Asuncion;Paraguay;Sudamerica;-23,442503;ñ58,443832
La Paz;La Paz;Bolivia;Sudamerica;-16,290154;ñ63,588653
Arica;Arica;Chile;Sudamerica;ñ35,675147;ñ71,542969
Bogota;Bogota;Colombia;Sudamerica;4,570868;ñ74,297333
Buenos Aires;Buenos Aires;Argentina;Sudamerica;ñ38,416097;ñ63,616672
Barranquilla;Barranquilla;Colombia;Sudamerica;4,570868;ñ74,297333
Caracas;Caracas;Venezuela;Sudamerica;6,42375;ñ66,58973
Cali;Cali;Colombia;Sudamerica;4,570868;ñ74,297333
Asuncion;Asuncion;Paraguay;Sudamerica;-23,442503;ñ58,443832
Puerto Montt;Puerto Montt;Chile;Sudamerica;ñ35,675147;ñ71,542969
Temuco;Temuco;Chile;Sudamerica;ñ35,675147;ñ71,542969
